Raw_Name,New_Name
Bench machine,Flat HammerStrength
Shld fly mach,Lateral Raise Machine
DA tri tri pd,DA Tri PD
SS Bench Dips,Bench Dips
Good mornings,Good Mornings
Bench dips bw,Bench Dips
SA Cable curl,SA Cable Curl
Leg curl mach,Leg Curl Machine
SA cable curl,SA Cable Curl
Bent over row,Barbell Row
Back fly mach,Rear Delt Fly Machine
Romanian dead,RDL
Tri push down,DA Tri PD
DA oh tri ext,Overhead Cable Tricep Extension
Lat pull down,Cable Lat Pulldown
Sh press mach,Shoulder Press Machine
Chest sup row,Chest Supported Row
Barbell curls,Barbell Curl
Leg curl Mach,Leg Extension Machine
Preacher mach,Preacher Machine
Row Mach wide,Row Machine
DA Tri oh ext,Overhead Cable Tricep Extension
Oh db tri ext,Dumbell Tricep Extension
Arnold press,Delete
Bar bent row,Barbell Row
Curl machine,Preacher Machine
Bent bar row,Barbell Row
Bench dip bw,Bench Dips
Sh bar press,Barbell Shoulder Press
Smith sh row,Smith Machine Shoulder Row
Tri pushdown,DA Tri PD
Hammer curls,Hammer Curl
Leg ext mach,Leg Extension Machine
Cable lat pd,Cable Lat Pulldown
Barbell curl,Barbell Curl
Tri bar push,DA Tri PD
Plate raises,Front Plate Raise
Lat row Mach,Lat Pulldown Machine
Plate raise,Front Plate Raise
Mach lat pd,Machine Lat Pulldown
Lat pu mach,Lat Pulldown Machine
Row machine,Row Machine
Lower body:,Delete
Sh fly Mach,Lateral Raise Machine
Oh row mach,Row Machine
Sh fly mach,Lateral Raise Machine
Ez bar curl,EZ Bar Curl
Lat pd mach,Cable Lat Pulldown
Db sh press,Dumbell Shoulder Press
Barbell row,Barbell Row
Waiter curl,Waiter Curl
SA Cable pd,SA Tri PD
Ez Bar curl,EZ Bar Curl
SA fly mach,SA Lateral Raise Machine
SS Bar curl,Barbell Curl
Tri pd bar,DA Tri PD
Bar row OH,Barbell Row
Cable curl,SA Cable Curl
Skulls bar,Skull Crushers
Back squat,Back Squat
Tri bar pd,DA Tri PD
Bar Row uh,Barbell Row
Bench dips,Bench Dips
Bar row oh,Barbell Row
Bar row uh,Barbell Row
Conc curl,Concentration Curl
Inc smith,Smith Incline Bench
